post_id,thread_id,user_id,created_at,text,is_reply,topic_category,user_id_hashed
post_000000,thread_00000,user_0233,2024-01-01 00:00:00,Video game RPG launches with VR support. This is huge.,False,culture,8131db3f17374e9a
post_000001,thread_00001,user_0239,2024-01-01 00:00:00,Gun control legislation proposed after regulatory news,False,politics,4960459bfb6e4a91
post_000002,thread_00001,user_0108,2024-01-01 00:00:00,Russia and China are strengthening their alliance in Africa,True,geopolitics,3ecdfa2f4918dba6
post_000003,thread_00001,user_0061,2024-01-01 00:00:00,Reminder: Gun control legislation proposed after market manipulation. Not surprised.,True,politics,59fa1df60f0c234d
post_000004,thread_00002,user_0121,2024-01-01 00:00:00,Stock market volatility continues amid banking crisis,False,economics,d5d1b1b6b4fd3f6c
post_000005,thread_00002,user_0155,2024-01-01 00:00:00,Tax reform plan targets small businesses,True,politics,02384d95421dcc08
post_000006,thread_00002,user_0136,2024-01-01 00:00:00,Finally some good news - North Korea tests new missile amid international pressure,True,geopolitics,2a2faf4510c6b9dd
post_000007,thread_00002,user_0152,2024-01-01 00:00:00,The UN Security Council discusses climate commitments in emergency session,True,geopolitics,b16d694e14e1baee
post_000008,thread_00002,user_0156,2024-01-01 00:00:00,Oil prices surge after market manipulation,True,economics,09267e4fd39e5c34
post_000009,thread_00002,user_0239,2024-01-01 00:00:00,Breaking: Syria conflict enters new phase with US involvement. History will remember this.,True,geopolitics,4960459bfb6e4a91
post_000010,thread_00002,user_0246,2024-01-01 00:00:00,Nobody is talking about how Housing market cools in Middle East,True,economics,28b673bd0664ebac
post_000011,thread_00002,user_0203,2024-01-01 00:00:00,The mainstream media ignores that Book bans debated in Texas schools,True,culture,de771d7f55a62ce1
post_000012,thread_00002,user_0215,2024-01-01 00:00:00,Biden announces campaign for president,True,politics,15ab04b59e9647d2
post_000013,thread_00002,user_0231,2024-01-01 00:00:00,This is concerning because Sports team Lakers wins championship. Not surprised.,True,culture,cb0d70b9679da971
post_000014,thread_00002,user_0221,2024-01-01 00:00:00,Tax reform plan targets corporations. About time.,True,politics,8825a4d7d417c6f8
post_000015,thread_00002,user_0237,2024-01-01 00:00:00,Stock market volatility continues amid energy shortage,True,economics,ae082773676c293c
post_000016,thread_00002,user_0237,2024-01-01 00:08:30,Syria conflict enters new phase with China involvement,True,geopolitics,ae082773676c293c
post_000017,thread_00002,user_0219,2024-01-01 00:11:56,The UN Security Council discusses climate commitments in emergency session,True,geopolitics,725b3c6b3154f2d4
post_000018,thread_00002,user_0243,2024-01-01 00:18:35,Finally some good news - Iran nuclear program raises concerns in Asia Pacific,True,geopolitics,dcb001ac20da19d4
post_000019,thread_00002,user_0233,2024-01-01 00:59:20,Housing market cools in Africa,True,economics,8131db3f17374e9a
post_000020,thread_00002,user_0160,2024-01-01 01:13:48,Oil prices surge after market manipulation,True,economics,fed1b72f998f4304
post_000021,thread_00002,user_0166,2024-01-01 01:16:09,Stock market volatility continues amid supply chain disruption,True,economics,664feb9fee869db7
post_000022,thread_00002,user_0215,2024-01-01 01:30:52,Unpopular opinion: Housing market cools in Southeast Asia,True,economics,15ab04b59e9647d2
post_000023,thread_00002,user_0235,2024-01-01 01:42:17,Reminder: Harris announces campaign for governor. The implications are staggering.,True,politics,c52f9c736782f7e3
post_000024,thread_00003,user_0211,2024-01-01 01:47:32,Cryptocurrency Bitcoin crashes after regulatory news,False,tech,779a054b510248b2
post_000025,thread_00003,user_0205,2024-01-01 01:50:57,Calling it now: Supreme Court ruling on territorial disputes divides nation,True,politics,b3b00630b17f1963
post_000026,thread_00003,user_0157,2024-01-01 01:58:37,Russia and China are strengthening their alliance in Middle East,True,geopolitics,98cc26d3a0f52526
post_000027,thread_00004,user_0212,2024-01-01 02:14:13,Streaming platform Apple releases reality show,False,culture,4a455f9c04702ccb
post_000028,thread_00004,user_0244,2024-01-01 02:15:34,Reminder: Music festival market manipulation sells out in minutes. Wow just wow.,True,culture,59a2ecc03cd6dcf2
post_000029,thread_00004,user_0246,2024-01-01 02:16:45,Cancel culture discussion focuses on comedian,True,culture,28b673bd0664ebac
post_000030,thread_00004,user_0246,2024-01-01 02:33:19,Video game RPG launches with VR support,True,culture,28b673bd0664ebac
post_000031,thread_00005,user_0075,2024-01-01 02:33:25,Reminder: Ukraine conflict affects global energy supply chains. This is huge.,False,geopolitics,14540b615e596c82
post_000032,thread_00006,user_0108,2024-01-01 02:37:47,Inflation reaches 4.2% in Germany,False,economics,3ecdfa2f4918dba6
post_000033,thread_00006,user_0239,2024-01-01 03:20:37,Electric vehicle sales surge in Africa. Wow just wow.,True,tech,4960459bfb6e4a91
post_000034,thread_00006,user_0191,2024-01-01 03:28:19,Climate policy debate intensifies in Africa,True,politics,a992eabf8d945b65
post_000035,thread_00007,user_0186,2024-01-01 03:34:26,Calling it now: Video game battle royale launches with VR support. This is huge.,False,culture,71433f21118fc654
post_000036,thread_00008,user_0237,2024-01-01 03:41:41,Climate policy debate intensifies in Africa,False,politics,ae082773676c293c
post_000037,thread_00009,user_0242,2024-01-01 04:22:58,Minimum wage debate continues in Texas,False,economics,bf216b7ac5143eb0
post_000038,thread_00009,user_0221,2024-01-01 04:27:10,Joe Rogan controversy sparks online debate. Not surprised.,True,culture,8825a4d7d417c6f8
post_000039,thread_00009,user_0234,2024-01-01 04:43:41,Nobody is talking about how DeSantis announces campaign for president,True,politics,62f783f20d8a7eff
post_000040,thread_00009,user_0077,2024-01-01 04:48:14,Calling it now: Social media platform Google changes data collection,True,tech,d9478c877984d521
post_000041,thread_00010,user_0181,2024-01-01 05:14:37,This aged well... Taiwan tensions escalate as US makes statement,False,geopolitics,074a725ea819ac30
post_000042,thread_00010,user_0205,2024-01-01 05:14:46,New action movie breaks box office records,True,culture,b3b00630b17f1963
post_000043,thread_00010,user_0013,2024-01-01 05:22:55,Calling it now: Elon Musk controversy sparks online debate,True,culture,f620baff82aff793
post_000044,thread_00011,user_0192,2024-01-01 06:07:09,Tech workers strike at Tesla over climate commitments,False,tech,5c512d03340c9d6c
post_000045,thread_00011,user_0104,2024-01-01 06:15:49,Harris announces campaign for president,True,politics,37c0795536700dd2
post_000046,thread_00011,user_0245,2024-01-01 06:21:57,Police reform protests continue in Portland. Mark my words.,True,politics,d00ebbca9e619b22
post_000047,thread_00011,user_0205,2024-01-01 06:22:42,Climate policy debate intensifies in Latin America,True,politics,b3b00630b17f1963
post_000048,thread_00012,user_0174,2024-01-01 06:28:24,Banking crisis affects Asia Pacific economy. Not surprised.,False,economics,81c4677319ec1a8a
post_000049,thread_00012,user_0246,2024-01-01 06:29:57,Nobody is talking about how Electric vehicle sales surge in Asia Pacific,True,tech,28b673bd0664ebac
post_000050,thread_00013,user_0235,2024-01-01 06:48:01,Israel and Palestine negotiations stall over security guarantees,False,geopolitics,c52f9c736782f7e3
post_000051,thread_00014,user_0235,2024-01-01 07:00:01,Book bans debated in California schools. History will remember this.,False,culture,c52f9c736782f7e3
post_000052,thread_00015,user_0048,2024-01-01 07:03:11,Tax reform plan targets small businesses,False,politics,58d9d2f03715b5a7
post_000053,thread_00016,user_0247,2024-01-01 07:09:47,Breaking: Trade war between US and China escalates,False,economics,127d86b91e9b5ef0
post_000054,thread_00017,user_0227,2024-01-01 07:45:19,Oil prices surge after regulatory news,False,economics,1c1b6155c79edd2e
post_000055,thread_00018,user_0138,2024-01-01 07:49:34,Fashion week highlights minimalist styles. This won't end well.,False,culture,dda1d6eabe077768
post_000056,thread_00018,user_0216,2024-01-01 08:02:12,Electric vehicle sales surge in Latin America. This won't end well.,True,tech,e6bf19b7faf0dbda
post_000057,thread_00018,user_0227,2024-01-01 08:04:10,Cancel culture discussion focuses on influencer,True,culture,1c1b6155c79edd2e
post_000058,thread_00018,user_0124,2024-01-01 08:40:20,Calling it now: Voting rights legislation stalls in Congress,True,politics,ecde47698673143e
post_000059,thread_00018,user_0206,2024-01-01 08:50:20,Minimum wage debate continues in New York. This won't end well.,True,economics,5370d0be6e932d93
post_000060,thread_00018,user_0126,2024-01-01 08:58:06,Gun control legislation proposed after regulatory news,True,politics,3214156f77c3f6ba
post_000061,thread_00018,user_0234,2024-01-01 09:02:46,Trump announces campaign for president,True,politics,62f783f20d8a7eff
post_000062,thread_00018,user_0224,2024-01-01 09:28:35,Nobody is talking about how Cancel culture discussion focuses on athlete,True,culture,ddb20c5c993ac65c
post_000063,thread_00018,user_0138,2024-01-01 09:55:49,Supreme Court ruling on territorial disputes divides nation,True,politics,dda1d6eabe077768
post_000064,thread_00018,user_0126,2024-01-01 09:57:11,New superhero film breaks box office records,True,culture,3214156f77c3f6ba
post_000065,thread_00018,user_0067,2024-01-01 09:58:58,Minimum wage debate continues in Florida,True,economics,751c4e3e176852d9
post_000066,thread_00018,user_0103,2024-01-01 10:09:57,Cancel culture discussion focuses on comedian,True,culture,3993097b1865df88
post_000067,thread_00018,user_0206,2024-01-01 10:55:08,Supreme Court ruling on human rights violations divides nation,True,politics,5370d0be6e932d93
post_000068,thread_00018,user_0091,2024-01-01 11:01:33,Data privacy concerns grow around facial recognition. This is huge.,True,tech,7647e23affc698b1
post_000069,thread_00018,user_0222,2024-01-01 11:20:59,Change my mind: Unemployment drops to 3.8% in retail,True,economics,205c644980a6b19e
post_000070,thread_00018,user_0198,2024-01-01 11:27:50,Housing market cools in Asia Pacific,True,economics,a8623eff67b81196
post_000071,thread_00018,user_0202,2024-01-01 11:35:05,Nobody is talking about how New Google product disrupts retail market,True,tech,2f6dd4c2bbb80916
post_000072,thread_00018,user_0243,2024-01-01 11:47:00,Unemployment drops to 3.8% in manufacturing,True,economics,dcb001ac20da19d4
post_000073,thread_00018,user_0198,2024-01-01 11:52:08,Immigration policy changes spark debate in India,True,politics,a8623eff67b81196
post_000074,thread_00018,user_0179,2024-01-01 11:58:22,Calling it now: Corporate merger between Amazon and Activision announced,True,economics,9589e5d495fdfdbc
post_000075,thread_00019,user_0144,2024-01-01 12:07:35,Breaking: Streaming platform Tesla releases reality show. Wow just wow.,False,culture,97fb8e33e2a147ab
post_000076,thread_00019,user_0218,2024-01-01 12:09:39,NATO expansion continues to be debated in Turkey. This is huge.,True,geopolitics,460a41afcaf1d111
post_000077,thread_00019,user_0229,2024-01-01 12:25:06,Quantum computing breakthrough at MIT,True,tech,9e3cb742a47939b0
post_000078,thread_00019,user_0245,2024-01-01 13:00:11,Breaking: Syria conflict enters new phase with Turkey involvement. This won't end well.,True,geopolitics,d00ebbca9e619b22
post_000079,thread_00020,user_0193,2024-01-01 13:05:32,Tax reform plan targets small businesses,False,politics,545936c6a25188b7
post_000080,thread_00021,user_0230,2024-01-01 13:20:07,Police reform protests continue in New York,False,politics,ac7a33401805fc6a
post_000081,thread_00021,user_0116,2024-01-01 13:20:44,This aged well... Supreme Court ruling on climate commitments divides nation,True,politics,a690dae430a795a6
post_000082,thread_00021,user_0126,2024-01-01 13:21:16,Calling it now: Banking crisis affects Middle East economy,True,economics,3214156f77c3f6ba
post_000083,thread_00021,user_0174,2024-01-01 13:29:21,Nobody is talking about how Data privacy concerns grow around location tracking. About time.,True,tech,81c4677319ec1a8a
post_000084,thread_00021,user_0204,2024-01-01 14:02:33,Hot take: Data privacy concerns grow around facial recognition,True,tech,82db64d778a0af18
post_000085,thread_00022,user_0145,2024-01-01 14:33:23,This is concerning because Federal Reserve considers holding on interest rates,False,economics,87255a85a87cd56e
post_000086,thread_00023,user_0238,2024-01-01 14:39:13,This aged well... Climate policy debate intensifies in Asia Pacific,False,politics,46f2c35ee1c3e090
post_000087,thread_00024,user_0210,2024-01-01 14:39:42,Corporate merger between Microsoft and Activision announced,False,economics,ba06957e21ff5c4f
post_000088,thread_00025,user_0184,2024-01-01 14:42:36,Book bans debated in New York schools,False,culture,ff96c882a14196e3
post_000089,thread_00026,user_0182,2024-01-01 15:06:45,Federal Reserve considers holding on interest rates,False,economics,0294063cc99d79ee
post_000090,thread_00027,user_0222,2024-01-01 15:08:05,Thoughts? Police reform protests continue in New York. Mark my words.,False,politics,205c644980a6b19e
post_000091,thread_00027,user_0240,2024-01-01 15:17:13,Election fraud claims investigated in Texas,True,politics,ef167b830a6be4e5
post_000092,thread_00027,user_0247,2024-01-01 15:40:34,Fashion week highlights minimalist styles. Wow just wow.,True,culture,127d86b91e9b5ef0
post_000093,thread_00027,user_0198,2024-01-01 15:57:30,Cancel culture discussion focuses on comedian. Not surprised.,True,culture,a8623eff67b81196
post_000094,thread_00028,user_0195,2024-01-01 16:11:01,Thoughts? Israel and Palestine negotiations stall over security guarantees,False,geopolitics,b55889cb5f413d9d
post_000095,thread_00028,user_0152,2024-01-01 16:15:03,Breaking: North Korea tests new missile amid international pressure,True,geopolitics,b16d694e14e1baee
post_000096,thread_00028,user_0237,2024-01-01 16:52:34,Minimum wage debate continues in New York,True,economics,ae082773676c293c
post_000097,thread_00028,user_0164,2024-01-01 16:54:03,Music festival hacking scandal sells out in minutes,True,culture,0a26740df7d6ab6b
post_000098,thread_00028,user_0196,2024-01-01 17:15:51,Finally some good news - Minimum wage debate continues in New York,True,economics,f3d340fe34b16f61
post_000099,thread_00029,user_0214,2024-01-01 17:19:52,Election fraud claims investigated in California,False,politics,5a54b824f99a262d
post_000100,thread_00030,user_0225,2024-01-01 17:39:24,Corporate merger between Microsoft and Whole Foods announced,False,economics,85807459f8439618
post_000101,thread_00031,user_0065,2024-01-01 17:45:44,NATO expansion continues to be debated in Poland,False,geopolitics,912ccdc0b8f1f0e9
post_000102,thread_00031,user_0019,2024-01-01 18:03:48,Election fraud claims investigated in Florida,True,politics,6d92e2f4afda6182
post_000103,thread_00031,user_0162,2024-01-01 18:05:15,Police reform protests continue in Chicago,True,politics,9bbc3af4171b5180
post_000104,thread_00031,user_0248,2024-01-01 18:05:37,Taiwan tensions escalate as Saudi Arabia makes statement,True,geopolitics,a9f2dc35f3bba0cb
post_000105,thread_00032,user_0189,2024-01-01 18:19:24,This aged well... Fashion week highlights minimalist styles,False,culture,dedcce6329bf34e1
post_000106,thread_00032,user_0197,2024-01-01 18:29:34,New Apple product disrupts retail market,True,tech,af1c474b0da0cb3b
post_000107,thread_00033,user_0045,2024-01-01 18:32:28,Election fraud claims investigated in New York,False,politics,9e97d7be0c3a5e31
post_000108,thread_00033,user_0108,2024-01-01 18:37:46,Federal Reserve considers lowering on interest rates,True,economics,3ecdfa2f4918dba6
post_000109,thread_00034,user_0049,2024-01-01 18:45:41,Nobody is talking about how The UN Security Council discusses territorial disputes in emergency session. The implications are staggering.,False,geopolitics,2aefa0fefdf49d34
post_000110,thread_00034,user_0144,2024-01-01 18:47:28,Healthcare reform proposal faces opposition from corporations,True,politics,97fb8e33e2a147ab
post_000111,thread_00034,user_0193,2024-01-01 19:29:19,Tax reform plan targets middle class,True,politics,545936c6a25188b7
post_000112,thread_00035,user_0012,2024-01-01 19:31:52,Housing market cools in Latin America,False,economics,8d36be3854235ac5
post_000113,thread_00036,user_0156,2024-01-01 19:35:17,Streaming platform Apple releases new series,False,culture,09267e4fd39e5c34
post_000114,thread_00036,user_0064,2024-01-01 19:38:25,Book bans debated in Florida schools. Mark my words.,True,culture,e4827cda70f9d03d
post_000115,thread_00037,user_0197,2024-01-01 19:53:26,Cancel culture discussion focuses on athlete,False,culture,af1c474b0da0cb3b
post_000116,thread_00037,user_0168,2024-01-01 20:29:29,New OpenAI product disrupts finance market,True,tech,9333a7d0132c2769
post_000117,thread_00037,user_0238,2024-01-01 20:38:22,New Tesla product disrupts finance market,True,tech,46f2c35ee1c3e090
post_000118,thread_00037,user_0184,2024-01-01 20:39:39,Federal Reserve considers lowering on interest rates,True,economics,ff96c882a14196e3
post_000119,thread_00038,user_0105,2024-01-01 20:44:39,Calling it now: Cancel culture discussion focuses on influencer,False,culture,ed06a035f6393562
post_000120,thread_00038,user_0123,2024-01-01 20:51:59,Cryptocurrency Ethereum crashes after regulatory news,True,tech,996bd7dd1ada3864
post_000121,thread_00038,user_0205,2024-01-01 21:02:49,Calling it now: Oil prices surge after market manipulation. This won't end well.,True,economics,b3b00630b17f1963
post_000122,thread_00039,user_0200,2024-01-01 21:11:15,Book bans debated in Texas schools,False,culture,efa8382f50baae3a
post_000123,thread_00039,user_0033,2024-01-01 21:15:16,Breaking: New Meta product disrupts finance market,True,tech,6dd8618e73c7e0f9
post_000124,thread_00040,user_0191,2024-01-01 21:42:55,Police reform protests continue in Chicago,False,politics,a992eabf8d945b65
post_000125,thread_00041,user_0197,2024-01-01 21:52:59,NATO expansion continues to be debated in South Korea,False,geopolitics,af1c474b0da0cb3b
post_000126,thread_00042,user_0105,2024-01-01 22:40:07,Art exhibition on settlements opens at MoMA. Absolutely ridiculous.,False,culture,ed06a035f6393562
post_000127,thread_00042,user_0077,2024-01-01 22:40:47,Sports team Cowboys wins championship. Absolutely ridiculous.,True,culture,d9478c877984d521
post_000128,thread_00042,user_0192,2024-01-01 22:50:00,Police reform protests continue in Minneapolis,True,politics,5c512d03340c9d6c
post_000129,thread_00042,user_0123,2024-01-01 22:50:56,Inflation reaches 5.1% in Germany,True,economics,996bd7dd1ada3864
post_000130,thread_00042,user_0124,2024-01-01 23:14:48,Police reform protests continue in Chicago,True,politics,ecde47698673143e
post_000131,thread_00043,user_0208,2024-01-01 23:58:01,Syria conflict enters new phase with Russia involvement,False,geopolitics,935b04e6b84355d3
post_000132,thread_00043,user_0156,2024-01-01 23:59:11,This aged well... The UN Security Council discusses climate commitments in emergency session,True,geopolitics,09267e4fd39e5c34
post_000133,thread_00043,user_0245,2024-01-02 00:03:27,Corporate merger between Microsoft and Twitter announced,True,economics,d00ebbca9e619b22
post_000134,thread_00044,user_0247,2024-01-02 00:23:02,Streaming platform Microsoft releases documentary,False,culture,127d86b91e9b5ef0
post_000135,thread_00044,user_0242,2024-01-02 00:37:26,Calling it now: Oil prices surge after regulatory news,True,economics,bf216b7ac5143eb0
post_000136,thread_00044,user_0155,2024-01-02 00:37:34,Thread: Music festival market manipulation sells out in minutes,True,culture,02384d95421dcc08
post_000137,thread_00045,user_0173,2024-01-02 00:38:25,Stock market volatility continues amid supply chain disruption,False,economics,a544bd23bddea385
post_000138,thread_00045,user_0206,2024-01-02 00:38:35,Social media platform OpenAI changes content moderation. The implications are staggering.,True,tech,5370d0be6e932d93
post_000139,thread_00045,user_0247,2024-01-02 00:41:40,Stock market volatility continues amid supply chain disruption,True,economics,127d86b91e9b5ef0
post_000140,thread_00045,user_0003,2024-01-02 01:07:11,Finally some good news - Iran nuclear program raises concerns in Eastern Europe. The implications are staggering.,True,geopolitics,33f18c520cf4684f
post_000141,thread_00046,user_0242,2024-01-02 01:25:53,Iran nuclear program raises concerns in Asia Pacific. Not surprised.,False,geopolitics,bf216b7ac5143eb0
post_000142,thread_00047,user_0166,2024-01-02 01:44:02,Cryptocurrency Ethereum crashes after hacking scandal. This is huge.,False,tech,664feb9fee869db7
post_000143,thread_00047,user_0122,2024-01-02 01:49:02,This is concerning because Voting rights legislation stalls in Congress,True,politics,84ffb5d462842d02
post_000144,thread_00048,user_0247,2024-01-02 01:58:56,Oil prices surge after regulatory news,False,economics,127d86b91e9b5ef0
post_000145,thread_00048,user_0236,2024-01-02 02:04:54,Tax reform plan targets corporations,True,politics,0f357c49c8666c81
post_000146,thread_00049,user_0205,2024-01-02 02:04:58,Minimum wage debate continues in Texas,False,economics,b3b00630b17f1963
post_000147,thread_00049,user_0111,2024-01-02 02:06:26,5G rollout continues despite cost issues,True,tech,a06ad994f5854f06
post_000148,thread_00049,user_0235,2024-01-02 02:06:35,Minimum wage debate continues in New York,True,economics,c52f9c736782f7e3
post_000149,thread_00049,user_0194,2024-01-02 02:27:45,Cancel culture discussion focuses on comedian,True,culture,605e97108900369e
post_000150,thread_00049,user_0177,2024-01-02 02:34:55,Ukraine conflict affects global grain supply chains,True,geopolitics,9db6ad32ed24f35f
post_000151,thread_00049,user_0219,2024-01-02 02:51:46,Cybersecurity breach at Google affects millions,True,tech,725b3c6b3154f2d4
post_000152,thread_00049,user_0188,2024-01-02 02:51:49,Minimum wage debate continues in New York,True,economics,83f5d526814fa0ca
post_000153,thread_00049,user_0187,2024-01-02 02:52:34,Calling it now: Voting rights legislation stalls in House,True,politics,79af5952ddd502ca
post_000154,thread_00049,user_0141,2024-01-02 03:42:09,Hot take: Tax reform plan targets middle class,True,politics,63f2bd4ded8aca6f
post_000155,thread_00049,user_0154,2024-01-02 03:48:33,NATO expansion continues to be debated in Brazil,True,geopolitics,a5faa14325e03e9d
post_000156,thread_00049,user_0115,2024-01-02 03:51:51,Streaming platform Meta releases reality show,True,culture,d7666a381bf0b8f2
post_000157,thread_00049,user_0241,2024-01-02 04:03:04,New action movie breaks box office records,True,culture,33ad7943fdd11301
post_000158,thread_00049,user_0188,2024-01-02 04:26:21,Banking crisis affects Southeast Asia economy,True,economics,83f5d526814fa0ca
post_000159,thread_00049,user_0220,2024-01-02 04:57:57,Calling it now: Oil prices surge after regulatory news,True,economics,4679750df1c347ad
post_000160,thread_00049,user_0157,2024-01-02 05:17:02,Corporate merger between Microsoft and Twitter announced,True,economics,98cc26d3a0f52526
post_000161,thread_00049,user_0134,2024-01-02 05:23:47,Video game RPG launches with VR support,True,culture,eed0a46550897707
post_000162,thread_00049,user_0229,2024-01-02 05:25:51,Music festival hacking scandal sells out in minutes. This won't end well.,True,culture,9e3cb742a47939b0
post_000163,thread_00049,user_0191,2024-01-02 05:42:19,Cybersecurity breach at Microsoft affects millions,True,tech,a992eabf8d945b65
post_000164,thread_00049,user_0206,2024-01-02 05:46:45,Art exhibition on prisoner exchanges opens at Guggenheim,True,culture,5370d0be6e932d93
post_000165,thread_00049,user_0223,2024-01-02 05:58:38,Book bans debated in Florida schools,True,culture,04f4dd6c25f9518f
post_000166,thread_00050,user_0132,2024-01-02 06:24:16,Elon Musk controversy sparks online debate,False,culture,4407e5709774c710
post_000167,thread_00050,user_0147,2024-01-02 06:37:14,Tech workers strike at Apple over climate commitments,True,tech,b28dd76ab693e27e
post_000168,thread_00050,user_0242,2024-01-02 06:43:02,Tech workers strike at OpenAI over human rights violations,True,tech,bf216b7ac5143eb0
post_000169,thread_00051,user_0078,2024-01-02 06:44:28,This aged well... Electric vehicle sales surge in Southeast Asia,False,tech,cf3a663eca444e4c
post_000170,thread_00052,user_0190,2024-01-02 06:55:08,Minimum wage debate continues in New York,False,economics,d2f8eb1ee8a3fe80
post_000171,thread_00052,user_0231,2024-01-02 07:14:43,Calling it now: Unemployment drops to 3.8% in technology,True,economics,cb0d70b9679da971
post_000172,thread_00053,user_0243,2024-01-02 07:42:44,Police reform protests continue in Portland,False,politics,dcb001ac20da19d4
post_000173,thread_00054,user_0101,2024-01-02 07:45:19,Iran nuclear program raises concerns in Middle East. History will remember this.,False,geopolitics,deeaf60c0445b9b2
post_000174,thread_00055,user_0087,2024-01-02 07:48:58,This aged well... Gun control legislation proposed after market manipulation,False,politics,168169f113b6f177
post_000175,thread_00055,user_0013,2024-01-02 08:03:46,Social media platform Tesla changes content moderation,True,tech,f620baff82aff793
post_000176,thread_00055,user_0244,2024-01-02 08:04:51,Israel and Palestine negotiations stall over settlements,True,geopolitics,59a2ecc03cd6dcf2
post_000177,thread_00056,user_0248,2024-01-02 08:08:27,Israel and Palestine negotiations stall over settlements,False,geopolitics,a9f2dc35f3bba0cb
post_000178,thread_00056,user_0122,2024-01-02 08:25:20,Sports team Yankees wins championship,True,culture,84ffb5d462842d02
post_000179,thread_00057,user_0091,2024-01-02 08:26:47,This aged well... Iran nuclear program raises concerns in Eastern Europe,False,geopolitics,7647e23affc698b1
post_000180,thread_00057,user_0246,2024-01-02 08:50:29,Art exhibition on borders opens at Met,True,culture,28b673bd0664ebac
post_000181,thread_00058,user_0213,2024-01-02 08:59:48,Cryptocurrency Ethereum crashes after hacking scandal,False,tech,8cd50f1de220e42f
post_000182,thread_00058,user_0224,2024-01-02 09:19:14,Gun control legislation proposed after hacking scandal,True,politics,ddb20c5c993ac65c
post_000183,thread_00058,user_0125,2024-01-02 09:24:21,Quantum computing breakthrough at Stanford,True,tech,7e34ba1e83aec942
post_000184,thread_00058,user_0076,2024-01-02 09:26:59,Music festival regulatory news sells out in minutes. Absolutely ridiculous.,True,culture,44d2fd5341e58f2c
post_000185,thread_00059,user_0167,2024-01-02 09:32:58,Unemployment drops to 7.5% in technology. Mark my words.,False,economics,644f93109b63be4a
post_000186,thread_00060,user_0207,2024-01-02 10:09:41,New documentary breaks box office records. The implications are staggering.,False,culture,2965ec591ac23102
post_000187,thread_00060,user_0224,2024-01-02 10:16:01,Unpopular opinion: Immigration policy changes spark debate in Turkey,True,politics,ddb20c5c993ac65c
post_000188,thread_00061,user_0214,2024-01-02 10:33:23,Streaming platform Tesla releases reality show,False,culture,5a54b824f99a262d
post_000189,thread_00061,user_0191,2024-01-02 11:03:24,Breaking: AI advancement in content moderation raises ethical questions,True,tech,a992eabf8d945b65
post_000190,thread_00061,user_0248,2024-01-02 11:08:48,Hot take: Tax reform plan targets seniors,True,politics,a9f2dc35f3bba0cb
post_000191,thread_00061,user_0187,2024-01-02 12:14:53,Data privacy concerns grow around facial recognition,True,tech,79af5952ddd502ca
post_000192,thread_00062,user_0246,2024-01-02 12:45:09,Social media platform Google changes algorithm transparency. This won't end well.,False,tech,28b673bd0664ebac
post_000193,thread_00063,user_0197,2024-01-02 12:45:15,Corporate merger between Google and Twitter announced. This is huge.,False,economics,af1c474b0da0cb3b
post_000194,thread_00064,user_0138,2024-01-02 12:52:10,This aged well... Inflation reaches 4.2% in France,False,economics,dda1d6eabe077768
post_000195,thread_00065,user_0170,2024-01-02 12:54:48,Hot take: The UN Security Council discusses human rights violations in emergency session,False,geopolitics,41e0da28261abd58
post_000196,thread_00065,user_0247,2024-01-02 13:02:52,Voting rights legislation stalls in Congress,True,politics,127d86b91e9b5ef0
